*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Auxiliary Board
*Date=12:21:36
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
103;;;22.3845;-77.707;0;Bottom;Via8
104;;;15.9342;-75.1756;0;Bottom;TXT1
105;;;64.3178;-5.28238;0;Bottom;TXT1
106;;;13.8684;-69.6876;0;Bottom;Copper Fill59
107;;;19.8882;-25.6695;0;Bottom;Copper Fill36
108;;;6.46397;-50.3327;0;Bottom;TXT1
109;;;118.033;-77.993;0;Bottom;Hole 5
110;;;36.2526;-1.11255;0;Bottom;TXT1
111;;;80.4673;-73.2944;0;Bottom;Copper Fill6
112;;;22.8092;-17.8717;0;Bottom;Copper Fill42
113;;;68.165;-2.66703;0;Bottom;TXT1
114;;;43.7204;-21.0651;0;Bottom;Via3
115;;;25.527;-77.2314;0;Bottom;Copper Fill2
116;;THT;36.0469;-73.135;-90;Bottom;Drive Motor FR
117;;;86.3708;-1.05893;0;Bottom;TXT1
118;;THT;19.5905;-10.143;-90;Bottom;RL Encoder 1
119;;THT;60.2305;-5.31702;90;Bottom;Microphone
120;;;90.4564;-54.085;0;Bottom;Via18
121;;;49.2507;-58.791;0;Bottom;Copper Fill64
122;;;72.0345;-70.9068;0;Bottom;Copper Fill53
123;;;86.3855;-51.3234;0;Bottom;Copper Fill17
124;;;117.814;-26.512;0;Bottom;TXT1
125;;;111.253;-22.794;0;Bottom;TXT1
126;;;11.8872;-44.6687;0;Bottom;Copper Fill29
127;;;61.4578;-39.607;0;Bottom;MCU
128;;;11.8872;-37.0487;0;Bottom;Copper Fill34
129;;;111.404;-40.0204;0;Bottom;Copper Fill93
130;;;31.1405;-58.2576;0;Bottom;Copper Fill12
131;;;71.8142;-54.5717;0;Bottom;TXT1
132;;;11.5062;-77.0028;0;Bottom;Copper Fill56
133;;THT;105.443;-68.817;90;Bottom;Steer Servo FR
